Row.ID,Order.Date,Sales,Category,Sub.Category,Region
1,11/8/16,261.96,Furniture,Bookcases,South
2,11/8/16,731.94,Furniture,Chairs,South
3,6/12/16,14.62,Office Supplies,Labels,West
4,10/11/15,957.5775,Furniture,Tables,South
5,10/11/15,22.368,Office Supplies,Storage,South
6,6/9/14,48.86,Furniture,Furnishings,West
7,6/9/14,7.28,Office Supplies,Art,West
8,6/9/14,907.152,Technology,Phones,West
9,6/9/14,18.504,Office Supplies,Binders,West
10,6/9/14,114.9,Office Supplies,Appliances,West
11,6/9/14,1706.184,Furniture,Tables,West
12,6/9/14,911.424,Technology,Phones,West
13,4/15/17,15.552,Office Supplies,Paper,South
14,12/5/16,407.976,Office Supplies,Binders,West
15,11/22/15,68.81,Office Supplies,Appliances,Central
16,11/22/15,2.544,Office Supplies,Binders,Central
17,11/11/14,665.88,Office Supplies,Storage,Central
18,5/13/14,55.5,Office Supplies,Storage,West
19,8/27/14,8.56,Office Supplies,Art,West
20,8/27/14,213.48,Technology,Phones,West
21,8/27/14,22.72,Office Supplies,Binders,West
22,12/9/16,19.46,Office Supplies,Art,Central
23,12/9/16,60.34,Office Supplies,Appliances,Central
24,7/16/17,71.372,Furniture,Chairs,East
25,9/25/15,1044.63,Furniture,Tables,West
26,1/16/16,11.648,Office Supplies,Binders,West
27,1/16/16,90.57,Technology,Accessories,West
28,9/17/15,3083.43,Furniture,Bookcases,East
29,9/17/15,9.618,Office Supplies,Binders,East
30,9/17/15,124.2,Furniture,Furnishings,East
31,9/17/15,3.264,Office Supplies,Envelopes,East
32,9/17/15,86.304,Office Supplies,Art,East
33,9/17/15,6.858,Office Supplies,Binders,East
34,9/17/15,15.76,Office Supplies,Art,East
35,10/19/17,29.472,Office Supplies,Paper,Central
36,12/8/16,1097.544,Technology,Phones,Central
37,12/8/16,190.92,Furniture,Furnishings,Central
38,12/27/15,113.328,Office Supplies,Envelopes,Central
39,12/27/15,532.3992,Furniture,Bookcases,Central
40,12/27/15,212.058,Furniture,Chairs,Central
