Date,ADS,NKE
2022-09-07,141.385361,107.127426
2022-09-08,141.763779,107.374313
2022-09-09,144.751221,109.586372
2022-09-12,148.595047,110.978798
2022-09-13,142.301514,104.40184
2022-09-14,141.704041,105.665886
2022-09-15,136.027908,104.184586
2022-09-16,134.57402,102.821793
2022-09-19,136.127487,105.87326
2022-09-20,135.171509,101.14299
2022-09-21,135.908401,98.545784
2022-09-22,132.901062,97.321243
2022-09-23,130.41153,95.81031
2022-09-26,129.55513,94.862289
2022-09-27,126.766853,95.089417
2022-09-28,129.69455,97.469368
2022-09-29,123.500587,94.141388
2022-09-30,118.382111,82.083633
2022-10-03,118.501617,84.335197
2022-10-04,125.671455,87.534798
2022-10-05,122.285706,89.964127
2022-10-06,121.34964,89.045723
2022-10-07,115.076019,86.073257
2022-10-10,113.761543,85.609123
2022-10-11,114.59803,86.892899
2022-10-12,111.41143,87.406425
2022-10-13,112.64624,88.443329
2022-10-14,113.642052,86.458397
2022-10-17,117.685051,88.848213
2022-10-18,117.78463,88.561836
2022-10-19,115.195518,87.465675
2022-10-20,114.319206,85.747375
2022-10-21,103.425026,87.396545
2022-10-24,103.385185,86.912659
2022-10-25,100.079094,90.576393
2022-10-26,101.572815,91.238045
2022-10-27,98.92395,89.411118
2022-10-28,98.933907,92.660095
2022-10-31,98.56546,91.524422
2022-11-01,98.555504,92.60083
2022-11-02,96.474251,89.17411
2022-11-03,93.556526,89.272858
2022-11-04,113.562386,94.59565
2022-11-07,114.478531,92.274963
2022-11-08,119.497429,92.581085
2022-11-09,123.918831,90.951653
2022-11-10,127.463921,98.249519
2022-11-11,135.07193,104.767235
2022-11-14,131.307755,103.088425
2022-11-15,131.566666,105.379494
2022-11-16,129.176712,103.917953
2022-11-17,128.499557,104.046341
2022-11-18,128.65889,104.105583
2022-11-21,123.779419,102.5354
2022-11-22,122.484863,104.648727
2022-11-23,123.779419,105.320244
2022-11-24,126.129539,104.638847
2022-11-25,123.460762,103.651314
2022-11-28,120.752151,104.925232
2022-11-29,120.433495,108.322342
2022-11-30,121.747963,109.724632
2022-12-01,124.39682,111.141129
2022-12-02,123.739586,108.585495
2022-12-05,121.548798,106.911438
2022-12-06,118.561363,107.307671
2022-12-07,117.067642,110.309067
2022-12-08,117.047729,108.387375
2022-12-09,118.402031,111.012367
2022-12-12,117.007896,111.785004
2022-12-13,123.480675,110.398216
2022-12-14,123.460762,107.485962
2022-12-15,118.063454,104.950119
2022-12-16,120.592819,102.077492
2022-12-19,120.672485,102.235977
2022-12-20,117.80455,114.687355
2022-12-21,125.771042,115.608574
2022-12-22,124.635818,115.152924
2022-12-23,125.332886,116.450554
2022-12-27,125.810867,113.894913
2022-12-28,125.25322,116.242538
2022-12-29,127.842331,115.905754
2022-12-30,126.926178,117.629326
2023-01-02,127.165176,120.066116
2023-01-03,131.327682,119.481689
2023-01-04,137.800446,123.354774
2023-01-05,137.959778,123.671768
2023-01-06,140.090805,124.65242
2023-01-09,141.066711,126.732605
2023-01-10,139.513245,126.683067
2023-01-11,143.934647,127.63401
2023-01-12,145.826691,126.930717
2023-01-13,145.906357,125.236855
2023-01-16,148.993362,123.354774
2023-01-17,149.989182,125.425056
2023-01-18,148.853958,127.079292
2023-01-19,143.536331,125.633072
2023-01-20,145.826691,125.623169
2023-01-23,148.136963,126.326469
